seq	speed	IR	k	alpha	pathloss	dist	WA	etc
141	70	20	1	0.1	122.598	539.225	1.77604	1
142	70	20	1	0.1	123.535	600.648	1.8724	1
143	70	20	1	0.1	124.381	662.089	1.96502	1
144	70	20	1	0.1	125.152	723.542	2.05447	1
145	70	20	1	0.1	125.86	785.006	2.14118	1
146	70	20	1	0.1	126.515	846.478	2.2255	1
147	70	20	1	0.1	127.124	907.957	2.30772	1
148	70	20	1	0.1	127.693	969.44	2.38808	1
149	70	20	1	0.1	128.228	1030.93	2.46678	1
150	70	20	1	0.1	128.731	1092.42	2.54398	1
151	70	20	1	0.1	129.206	1153.91	2.61983	1
152	70	20	1	0.1	129.657	1215.41	2.69445	1
153	70	20	1	0.1	130.086	1276.91	2.76796	1
154	70	20	1	0.1	130.495	1338.41	2.84044	1
155	70	20	1	0.1	130.885	1399.91	2.91198	1
156	70	20	1	0.1	131.258	1461.41	2.98266	1
157	70	20	1	0.1	131.617	1522.92	3.05254	1
158	70	20	1	0.1	131.96	1584.42	3.12168	1
159	70	20	1	0.1	132.291	1645.93	3.19013	1
160	70	20	1	0.1	132.61	1707.44	3.25795	1
161	70	20	1	0.1	132.917	1768.94	3.32517	1
162	70	20	1	0.1	133.214	1830.45	3.39183	1
163	70	20	1	0.1	133.501	1891.96	3.45797	1
164	70	20	1	0.1	133.779	1953.47	3.52363	1
165	70	20	1	0.1	134.048	2014.98	3.58883	1
166	70	20	1	0.1	134.31	2076.49	3.6536	1
167	70	20	1	0.1	134.563	2138	3.71796	1
168	70	20	1	0.1	134.81	2199.52	3.78195	1
169	70	20	1	0.1	135.049	2261.03	3.84558	1
170	70	20	1	0.1	135.282	2322.54	3.90887	1
171	70	20	1	0.1	135.509	2384.05	3.97185	1
172	70	20	1	0.1	135.731	2445.57	4.03452	1
173	70	20	1	0.1	135.946	2507.08	4.09691	1
174	70	20	1	0.1	136.157	2568.59	4.15903	1
175	70	20	1	0.1	136.362	2630.11	4.2209	1
176	70	20	1	0.1	136.563	2691.62	4.28253	1
177	70	20	1	0.1	136.76	2753.13	4.34392	1
178	70	20	1	0.1	136.952	2814.65	4.4051	1
179	70	20	1	0.1	137.139	2876.16	4.46608	1
180	70	20	1	0.1	137.323	2937.68	4.52686	1
181	70	20	1	0.1	137.503	2999.19	4.58745	1
182	70	20	1	0.1	137.679	3060.71	4.64787	1
183	70	20	1	0.1	137.852	3122.22	4.70812	1
184	70	20	1	0.1	138.022	3183.74	4.76822	1
185	70	20	1	0.1	138.188	3245.25	4.82816	1
186	70	20	1	0.1	138.351	3306.77	4.88796	1
187	70	20	1	0.1	138.511	3368.28	4.94762	1
188	70	20	1	0.1	138.668	3429.8	5.00716	1
189	70	20	1	0.1	138.823	3491.31	5.06657	1
